method,fold,n_train,n_validation,input_dim,architecture,epochs_requested,epochs_completed,batch_size,learning_rate,seed,training_time_seconds,accuracy,precision_macro,recall_macro,specificity_macro,f1_macro
destilado,1,2678,701,2048,input-128-64-5,30,9,32,0.001,102,5.1694724559783936,0.9372325249643366,0.9371844275127857,0.9422471885669864,0.9842134874239974,0.9391404978240072
destilado,2,2655,724,2048,input-128-64-5,30,8,32,0.001,103,4.412814617156982,0.9323204419889503,0.9303346924625358,0.9299800861390265,0.9830848133351389,0.9299922307557603
destilado,3,2754,625,2048,input-128-64-5,30,6,32,0.001,104,3.8723533153533936,0.928,0.9256627124837626,0.9269653757356501,0.982146211694074,0.9260880039503905
destilado,4,2676,703,2048,input-128-64-5,30,10,32,0.001,105,5.493509769439697,0.9288762446657184,0.9227726005671458,0.9241234978929797,0.9826173557797887,0.9233051072499816
destilado,5,2753,626,2048,input-128-64-5,30,7,32,0.001,106,4.447076082229614,0.8961661341853036,0.9017108521895756,0.8977649503241005,0.9739833242811876,0.8984691356920422
supervisado,1,2678,701,2048,input-128-64-5,30,23,32,0.001,102,10.199909925460815,0.9942938659058488,0.9938492063492064,0.9955555555555555,0.9986035147771949,0.9946463063230488
supervisado,2,2655,724,2048,input-128-64-5,30,30,32,0.001,103,12.918960332870483,0.9903314917127072,0.990255633425099,0.9904666776931677,0.9975736483618796,0.9903560453090524
supervisado,3,2754,625,2048,input-128-64-5,30,12,32,0.001,104,6.337316513061523,0.9872,0.9865945009999477,0.9877744575459,0.9968425360255277,0.98712533908979
supervisado,4,2676,703,2048,input-128-64-5,30,9,32,0.001,105,5.029037714004517,0.9900426742532006,0.98933073123153,0.9888645920941969,0.9975473375381771,0.989079652638854
supervisado,5,2753,626,2048,input-128-64-5,30,8,32,0.001,106,4.761837959289551,0.9824281150159745,0.9829276727940958,0.9825807220302634,0.9955740660748453,0.9826807529449211
