method,metric,mean,std,min,max
destilado,accuracy,0.9245190691608618,0.016259490736835552,0.8961661341853036,0.9372325249643366
destilado,precision_macro,0.923533057043161,0.013359870050794658,0.9017108521895756,0.9371844275127857
destilado,recall_macro,0.9242162197317485,0.016321566273242702,0.8977649503241005,0.9422471885669864
destilado,specificity_macro,0.9812090385028374,0.004111503426279709,0.9739833242811876,0.9842134874239974
destilado,f1_macro,0.9233989950944362,0.01516577675268164,0.8984691356920422,0.9391404978240072
supervisado,accuracy,0.9888592293775462,0.004393621695450503,0.9824281150159745,0.9942938659058488
supervisado,precision_macro,0.9885915489599759,0.004093477205788852,0.9829276727940958,0.9938492063492064
supervisado,recall_macro,0.9890484009838166,0.004686207370623391,0.9825807220302634,0.9955555555555555
supervisado,specificity_macro,0.997228220555525,0.0011177622529870057,0.9955740660748453,0.9986035147771949
supervisado,f1_macro,0.9887776192611334,0.004385371974618547,0.9826807529449211,0.9946463063230488
